SRR1298742.3056	IGHD3-22 28 2 
SRR1298742.4955	IGHD2-2 24 0 
SRR1298742.7743	IGHD6-13 13 0 
SRR1298742.4410	IGHD3-22 13 0 
SRR1298742.766	IGHD6-13 13 0 
SRR1298742.3425	IGHD3-22 28 2 
SRR1298742.2086	IGHD3-22 13 0 
SRR1298742.3191	IGHD3-22 28 2 
SRR1298742.5853	IGHD6-13 13 0 
SRR1298742.1170	IGHD3-22 28 2 
SRR1298742.9004	IGHD3-22 13 0 
SRR1298742.6783	IGHD3-22 13 0 
SRR1298742.2412	IGHD6-13 13 0 
SRR1298742.7045	IGHD2-2 24 0 
SRR1298742.332	IGHD2-2 24 0 
SRR1298742.8272	IGHD2-2 24 0 
SRR1298742.8874	IGHD2-2 24 0 
SRR1298742.2848	IGHD3-22 13 0 
SRR1298742.7784	IGHD6-13 13 0 
SRR1298742.3399	IGHD6-13 13 0 
SRR1298742.9166	IGHD3-22 13 0 
SRR1298742.52	IGHD6-13 13 0 
SRR1298742.3931	IGHD6-13 13 0 
SRR1298742.2816	IGHD6-13 13 0 
SRR1298742.2717	IGHD3-10 16 0 
SRR1298742.289	IGHD2-2 24 0 
SRR1298742.8257	IGHD2-2 24 0 
SRR1298742.7023	IGHD3-22 28 2 
SRR1298742.1853	IGHD3-22 28 2 
SRR1298742.4764	IGHD2-2 24 0 
SRR1298742.1450	IGHD6-13 13 0 
SRR1298742.1691	IGHD3-22 28 2 
SRR1298742.2770	IGHD3-22 28 2 
SRR1298742.3178	IGHD3-22 28 2 
SRR1298742.5023	IGHD2-2 24 0 
SRR1298742.9365	IGHD2-2 24 0 
SRR1298742.582	IGHD3-22 13 0 
SRR1298742.5900	IGHD3-22 13 0 
SRR1298742.3415	IGHD3-22 28 2 
SRR1298742.5860	IGHD3-22 13 0 
SRR1298742.2750	IGHD3-22 13 0 
SRR1298742.6435	IGHD2-2 24 0 
SRR1298742.2649	IGHD2-2 24 0 
SRR1298742.506	IGHD6-13 13 0 
SRR1298742.1994	IGHD3-22 28 2 
SRR1298742.7745	IGHD6-13 13 0 
SRR1298742.8940	IGHD2-2 24 0 
SRR1298742.7977	IGHD2-2 24 0 
SRR1298742.4755	IGHD2-2 24 0 
SRR1298742.4754	IGHD6-13 13 0 
SRR1298742.3322	IGHD6-13 13 0 
SRR1298742.2454	IGHD3-22 16 0 
SRR1298742.353	IGHD6-13 13 0 
SRR1298742.9116	IGHD3-22 28 2 
SRR1298742.5288	IGHD3-22 13 0 
SRR1298742.8966	IGHD2-2 24 0 
SRR1298742.5987	IGHD2-2 24 0 
SRR1298742.4217	IGHD2-2 22 0 
SRR1298742.5566	IGHD3-10 25 1 
SRR1298742.4175	IGHD2-2 23 0 
SRR1298742.6071	IGHD6-13 13 0 
SRR1298742.4369	IGHD6-13 13 0 
SRR1298742.7626	IGHD2-2 22 0 
SRR1298742.3200	IGHD3-22 13 0 
SRR1298742.6708	IGHD6-13 13 0 
SRR1298742.7271	IGHD2-2 24 1 
SRR1298742.1216	IGHD3-22 28 2 
SRR1298742.7927	IGHD3-22 13 0 
SRR1298742.6007	IGHD3-22 13 0 
SRR1298742.5412	IGHD3-22 16 0 
SRR1298742.7096	IGHD3-22 28 2 
SRR1298742.2544	IGHD3-22 13 0 
SRR1298742.7095	IGHD3-22 13 0 
SRR1298742.1212	IGHD3-22 28 2 
SRR1298742.6204	IGHD2-2 24 0 
SRR1298742.5625	IGHD3-22 13 0 
SRR1298742.3479	IGHD3-22 16 0 
SRR1298742.6468	IGHD3-22 13 0 
SRR1298742.4560	IGHD3-22 13 0 
SRR1298742.2182	IGHD3-22 13 0 
SRR1298742.2029	IGHD2-2 24 0 
SRR1298742.8098	IGHD2-2 24 0 
SRR1298742.8313	IGHD6-13 13 0 
SRR1298742.7190	IGHD2-2 24 0 
SRR1298742.1687	IGHD2-2 24 0 
SRR1298742.1892	IGHD2-2 18 0 
SRR1298742.8868	IGHD6-13 13 0 
SRR1298742.8832	IGHD2-2 24 0 
SRR1298742.6300	IGHD2-2 24 0 
