SRR1298742.4027	IGHJ2 49 3 
SRR1298742.4480	IGHJ5 35 2 IGHJ4 35 2 IGHJ4 35 3 IGHJ1 35 3 IGHJ4 35 4 
SRR1298742.3754	IGHJ6 46 1 
SRR1298742.9092	IGHJ3 44 3 
SRR1298742.7170	IGHJ6 55 0 
SRR1298742.2972	IGHJ5 49 0 
SRR1298742.425	IGHJ5 49 0 
SRR1298742.6991	IGHJ6 46 1 
SRR1298742.3170	IGHJ6 58 4 
SRR1298742.4688	IGHJ6 58 3 
SRR1298742.2401	IGHJ6 49 3 
SRR1298742.8349	IGHJ3 49 0 
SRR1298742.4496	IGHJ6 46 1 
SRR1298742.6105	IGHJ5 49 0 
SRR1298742.2629	IGHJ6 42 1 
SRR1298742.6374	IGHJ5 49 0 
SRR1298742.9372	IGHJ4 41 0 
SRR1298742.5655	IGHJ6 46 1 
SRR1298742.74	IGHJ6 55 1 
SRR1298742.2188	IGHJ6 46 1 
SRR1298742.6450	IGHJ5 49 0 
SRR1298742.7776	IGHJ6 46 1 
SRR1298742.234	IGHJ6 55 0 
SRR1298742.6362	IGHJ6 58 3 
SRR1298742.7205	IGHJ3 44 3 
SRR1298742.607	IGHJ6 46 1 
SRR1298742.6909	IGHJ3 32 1 IGHJ6 31 1 IGHJ6 31 2 IGHJ6 31 2 IGHJ6 31 2 
SRR1298742.2129	IGHJ6 46 1 
SRR1298742.1818	IGHJ5 49 0 
SRR1298742.7834	IGHJ4 46 2 
SRR1298742.4928	IGHJ6 46 1 
SRR1298742.609	IGHJ5 49 0 
SRR1298742.349	IGHJ6 55 1 
SRR1298742.6299	IGHJ6 46 1 
SRR1298742.929	IGHJ5 49 0 
SRR1298742.5928	IGHJ6 58 3 
SRR1298742.4244	IGHJ6 46 1 
SRR1298742.7091	IGHJ1 36 0 IGHJ4 38 1 
SRR1298742.4532	IGHJ2 49 3 
SRR1298742.1658	IGHJ4 40 0 
SRR1298742.5743	IGHJ5 49 0 
SRR1298742.2331	IGHJ6 46 1 
SRR1298742.4181	IGHJ2 49 3 
SRR1298742.4240	IGHJ6 46 1 
SRR1298742.3736	IGHJ5 49 0 
SRR1298742.3573	IGHJ6 46 1 
SRR1298742.4486	IGHJ6 41 1 
SRR1298742.221	IGHJ6 46 1 
SRR1298742.3630	IGHJ5 49 0 
SRR1298742.7072	IGHJ3 49 1 
SRR1298742.6699	IGHJ6 55 0 
SRR1298742.2179	IGHJ6 46 1 
SRR1298742.8202	IGHJ3 44 3 
SRR1298742.8927	IGHJ5 49 0 
SRR1298742.3544	IGHJ5 49 0 
SRR1298742.7791	IGHJ3 47 1 
SRR1298742.2799	IGHJ6 58 3 
SRR1298742.6017	IGHJ6 46 1 
SRR1298742.3755	IGHJ6 55 1 
SRR1298742.8577	IGHJ4 42 1 
SRR1298742.8931	IGHJ6 41 1 
SRR1298742.2441	IGHJ3 44 3 
SRR1298742.6846	IGHJ5 49 0 
SRR1298742.2174	IGHJ5 49 0 
SRR1298742.3675	IGHJ6 46 1 
SRR1298742.2079	IGHJ4 42 0 
SRR1298742.5118	IGHJ6 55 1 
SRR1298742.3924	IGHJ5 49 0 
SRR1298742.2199	IGHJ6 58 3 
SRR1298742.474	IGHJ6 46 1 
SRR1298742.1723	IGHJ6 47 1 
SRR1298742.1063	IGHJ6 46 1 
SRR1298742.2160	IGHJ6 41 1 
SRR1298742.4309	IGHJ6 46 1 
SRR1298742.2695	IGHJ6 58 3 
SRR1298742.7273	IGHJ6 46 1 
SRR1298742.8281	IGHJ4 42 0 
SRR1298742.659	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.2487	IGHJ6 46 1 
SRR1298742.6553	IGHJ6 46 1 
SRR1298742.4610	IGHJ4 42 0 
SRR1298742.3851	IGHJ6 46 1 
SRR1298742.859	IGHJ6 58 3 
SRR1298742.8804	IGHJ5 49 0 
SRR1298742.6252	IGHJ6 46 1 
SRR1298742.9047	IGHJ6 55 1 
SRR1298742.2148	IGHJ6 46 1 
SRR1298742.1667	IGHJ6 47 1 
SRR1298742.8985	IGHJ3 44 3 
SRR1298742.5388	IGHJ5 49 1 
SRR1298742.6460	IGHJ5 49 1 
SRR1298742.6115	IGHJ5 49 0 
SRR1298742.5416	IGHJ3 49 0 
SRR1298742.4668	IGHJ6 58 3 
SRR1298742.1839	IGHJ4 42 0 
SRR1298742.3571	IGHJ6 46 1 
SRR1298742.614	IGHJ5 49 0 
SRR1298742.8330	IGHJ6 55 2 
SRR1298742.9319	IGHJ5 34 1 IGHJ4 34 1 IGHJ4 34 2 IGHJ1 34 2 IGHJ4 34 3 
SRR1298742.2712	IGHJ6 46 2 
SRR1298742.4529	IGHJ4 44 2 
SRR1298742.3828	IGHJ4 44 2 
SRR1298742.8159	IGHJ4 44 1 
SRR1298742.5919	IGHJ5 49 0 
SRR1298742.4618	IGHJ6 46 1 
SRR1298742.1867	IGHJ5 49 2 
SRR1298742.360	IGHJ6 55 0 
SRR1298742.5256	IGHJ6 58 3 
SRR1298742.1727	IGHJ6 46 1 
SRR1298742.357	IGHJ6 46 1 
SRR1298742.4267	IGHJ6 46 2 
SRR1298742.7084	IGHJ4 41 1 
SRR1298742.1629	IGHJ3 47 1 
SRR1298742.4891	IGHJ6 55 1 
SRR1298742.6372	IGHJ6 58 3 
SRR1298742.462	IGHJ6 46 1 
SRR1298742.7374	IGHJ6 55 1 
SRR1298742.6609	IGHJ3 44 3 
SRR1298742.2726	IGHJ3 47 1 
SRR1298742.8618	IGHJ6 55 1 
SRR1298742.8826	IGHJ5 49 0 
SRR1298742.5150	IGHJ6 55 1 
SRR1298742.3091	IGHJ3 49 1 
SRR1298742.3474	IGHJ5 49 0 
SRR1298742.5415	IGHJ3 44 3 
SRR1298742.730	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.5824	IGHJ6 41 1 
SRR1298742.6836	IGHJ3 44 3 
SRR1298742.1701	IGHJ5 49 0 
SRR1298742.3758	IGHJ6 41 1 
SRR1298742.4516	IGHJ6 58 3 
SRR1298742.1884	IGHJ6 46 1 
SRR1298742.379	IGHJ6 58 4 
SRR1298742.3453	IGHJ6 46 1 
SRR1298742.8959	IGHJ6 46 3 
SRR1298742.7751	IGHJ5 45 1 
SRR1298742.6193	IGHJ6 46 1 
SRR1298742.9291	IGHJ5 45 0 
SRR1298742.4073	IGHJ6 46 1 
SRR1298742.8595	IGHJ6 46 1 
SRR1298742.6567	IGHJ5 49 0 
SRR1298742.6319	IGHJ5 49 0 
SRR1298742.2587	IGHJ6 58 3 
SRR1298742.1452	IGHJ6 43 1 
SRR1298742.5378	IGHJ6 46 1 
SRR1298742.3226	IGHJ6 55 1 
SRR1298742.1917	IGHJ5 49 0 
SRR1298742.3731	IGHJ5 45 3 
SRR1298742.4996	IGHJ6 58 3 
SRR1298742.7447	IGHJ6 46 1 
SRR1298742.5507	IGHJ6 41 1 
SRR1298742.984	IGHJ5 49 0 
SRR1298742.2354	IGHJ5 49 0 
SRR1298742.2000	IGHJ3 44 3 
SRR1298742.3243	IGHJ5 49 1 
SRR1298742.4395	IGHJ6 46 1 
SRR1298742.7452	IGHJ6 41 1 
SRR1298742.2863	IGHJ6 55 1 
SRR1298742.2138	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.7739	IGHJ6 41 1 
SRR1298742.9022	IGHJ5 49 0 
SRR1298742.4341	IGHJ5 49 0 
SRR1298742.8876	IGHJ5 49 0 
SRR1298742.9288	IGHJ3 44 3 
SRR1298742.1311	IGHJ6 46 1 
SRR1298742.2102	IGHJ6 46 1 
SRR1298742.4744	IGHJ5 49 0 
SRR1298742.8705	IGHJ6 41 1 
SRR1298742.8273	IGHJ5 49 0 
SRR1298742.793	IGHJ5 49 0 
SRR1298742.5014	IGHJ3 44 3 
SRR1298742.8168	IGHJ6 41 1 
SRR1298742.1591	IGHJ6 58 3 
SRR1298742.9194	IGHJ5 49 0 
SRR1298742.6948	IGHJ6 57 1 
SRR1298742.5639	IGHJ2 49 3 
SRR1298742.1948	IGHJ6 46 1 
SRR1298742.8713	IGHJ5 49 0 
SRR1298742.4563	IGHJ4 44 1 
SRR1298742.804	IGHJ6 46 1 
SRR1298742.340	IGHJ6 46 1 
SRR1298742.7516	IGHJ3 44 3 
SRR1298742.4381	IGHJ6 58 3 
SRR1298742.3829	IGHJ6 46 1 
SRR1298742.6923	IGHJ5 49 0 
SRR1298742.4523	IGHJ4 42 0 
SRR1298742.3557	IGHJ6 46 1 
SRR1298742.2192	IGHJ6 55 3 
SRR1298742.2624	IGHJ6 55 1 
SRR1298742.520	IGHJ6 46 1 
SRR1298742.3224	IGHJ6 55 1 
SRR1298742.4069	IGHJ5 26 0 IGHJ4 26 0 IGHJ4 25 0 
SRR1298742.1013	IGHJ6 46 2 
SRR1298742.1434	IGHJ5 49 0 
SRR1298742.5025	IGHJ4 42 0 
SRR1298742.4914	IGHJ6 41 1 
SRR1298742.7414	IGHJ6 46 1 
SRR1298742.1893	IGHJ1 36 0 IGHJ4 38 1 
SRR1298742.2538	IGHJ6 46 1 
SRR1298742.2535	IGHJ6 51 2 
SRR1298742.8650	IGHJ6 58 4 
SRR1298742.8486	IGHJ6 55 1 
SRR1298742.4420	IGHJ6 58 3 
SRR1298742.415	IGHJ6 58 3 
SRR1298742.6787	IGHJ5 44 0 
SRR1298742.9067	IGHJ4 42 0 
SRR1298742.5160	IGHJ5 49 0 
SRR1298742.6622	IGHJ3 44 3 
SRR1298742.6743	IGHJ3 47 1 
SRR1298742.5341	IGHJ6 55 2 
SRR1298742.2201	IGHJ6 46 2 
SRR1298742.697	IGHJ6 42 0 
SRR1298742.2901	IGHJ5 49 0 
SRR1298742.4811	IGHJ3 44 3 
SRR1298742.6054	IGHJ6 49 3 
SRR1298742.3419	IGHJ5 49 0 
SRR1298742.1169	IGHJ6 41 1 
SRR1298742.2372	IGHJ6 55 1 
SRR1298742.2918	IGHJ6 46 1 
SRR1298742.6788	IGHJ6 55 1 
SRR1298742.7316	IGHJ6 41 2 
SRR1298742.320	IGHJ6 46 2 
SRR1298742.703	IGHJ5 49 0 
SRR1298742.6160	IGHJ6 55 1 
SRR1298742.9136	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.9054	IGHJ5 49 0 
SRR1298742.8136	IGHJ6 46 1 
SRR1298742.7829	IGHJ5 49 1 
SRR1298742.7658	IGHJ6 46 1 
SRR1298742.8356	IGHJ5 40 1 IGHJ4 40 2 IGHJ4 40 2 IGHJ4 40 3 
SRR1298742.5795	IGHJ4 42 0 
SRR1298742.1019	IGHJ6 46 1 
