SRR1298742.122	IGHG 27 0 
SRR1298742.8728	IGHG 27 0 
SRR1298742.4995	IGHG 26 0 
SRR1298742.7343	IGHM 113 0 
SRR1298742.8087	IGHG 27 0 
SRR1298742.4351	IGHG 27 0 
SRR1298742.7188	IGHG 27 0 
SRR1298742.1259	IGHG 29 0 
SRR1298742.9251	IGHM 114 0 
SRR1298742.604	IGHM 113 1 
SRR1298742.4436	IGHG 27 0 
SRR1298742.7861	IGHM 113 0 
SRR1298742.9123	IGHG 29 0 
SRR1298742.2955	IGHG 27 0 
SRR1298742.4434	IGHM 113 0 
SRR1298742.8784	IGHG 27 0 
SRR1298742.3092	IGHG 29 0 
SRR1298742.2828	IGHG 27 0 
SRR1298742.589	IGHG 27 0 
SRR1298742.4772	IGHG 29 0 
SRR1298742.241	IGHG 27 0 
SRR1298742.4213	IGHG 29 0 
SRR1298742.6286	IGHG 27 0 
SRR1298742.3110	IGHG 29 0 
SRR1298742.5996	IGHM 113 0 
SRR1298742.5750	IGHG 27 0 
SRR1298742.3500	IGHG 29 0 
SRR1298742.7912	IGHG 27 0 
SRR1298742.6346	IGHM 113 0 
SRR1298742.2318	IGHG 27 0 
SRR1298742.3729	IGHG 27 0 
SRR1298742.6	IGHG 28 0 
SRR1298742.2368	IGHG 27 0 
SRR1298742.8824	IGHM 113 0 
SRR1298742.5748	IGHG 29 0 
SRR1298742.2850	IGHG 26 0 
SRR1298742.2949	IGHG 27 0 
SRR1298742.2036	IGHG 27 0 
SRR1298742.8002	IGHM 113 0 
SRR1298742.4376	IGHG 29 0 
SRR1298742.2626	IGHG 27 0 
SRR1298742.6749	IGHM 113 1 
SRR1298742.5903	IGHG 27 0 
SRR1298742.5396	IGHG 27 0 
SRR1298742.6216	IGHM 113 0 
SRR1298742.4843	IGHG 29 0 
SRR1298742.6610	IGHG 27 0 
SRR1298742.1260	IGHG 29 0 
SRR1298742.280	IGHG 29 0 
SRR1298742.5804	IGHG 29 0 
SRR1298742.1012	IGHG 27 0 
SRR1298742.2834	IGHG 27 0 
SRR1298742.8502	IGHG 27 0 
SRR1298742.610	IGHG 29 0 
SRR1298742.2239	IGHG 29 0 
SRR1298742.2602	IGHM 113 0 
SRR1298742.5106	IGHM 113 0 
SRR1298742.3102	IGHG 27 0 
SRR1298742.2425	IGHG 27 0 
SRR1298742.1328	IGHG 29 0 
SRR1298742.8232	IGHG 27 0 
SRR1298742.4002	IGHG 27 0 
SRR1298742.7929	IGHG 27 0 
SRR1298742.4635	IGHG 27 0 
SRR1298742.3150	IGHG 27 0 
SRR1298742.7849	IGHG 27 0 
SRR1298742.3940	IGHM 113 0 
SRR1298742.1395	IGHG 27 0 
SRR1298742.4164	IGHG 27 0 
SRR1298742.8549	IGHM 113 1 
SRR1298742.518	IGHM 114 3 
SRR1298742.3439	IGHG 29 0 
SRR1298742.1551	IGHG 27 0 
SRR1298742.2766	IGHG 27 1 
SRR1298742.4616	IGHG 29 0 
SRR1298742.9014	IGHM 113 0 
SRR1298742.6985	IGHM 113 0 
SRR1298742.5154	IGHG 27 0 
SRR1298742.1195	IGHG 27 0 
SRR1298742.4557	IGHG 29 0 
SRR1298742.8886	IGHG 29 0 
SRR1298742.1797	IGHG 26 0 
SRR1298742.294	IGHG 27 0 
SRR1298742.6488	IGHM 114 0 
SRR1298742.2232	IGHM 113 0 
SRR1298742.4296	IGHM 113 1 
SRR1298742.6334	IGHG 27 0 
SRR1298742.8660	IGHM 113 0 
SRR1298742.2361	IGHG 29 0 
SRR1298742.3912	IGHG 27 0 
SRR1298742.3832	IGHG 29 0 
SRR1298742.2122	IGHG 27 0 
SRR1298742.8857	IGHM 113 0 
SRR1298742.8979	IGHG 27 0 
SRR1298742.2360	IGHG 27 0 
SRR1298742.3781	IGHG 27 0 
SRR1298742.3517	IGHM 113 0 
SRR1298742.6347	IGHG 27 0 
SRR1298742.4417	IGHG 29 0 
SRR1298742.2867	IGHM 113 1 
SRR1298742.3645	IGHG 27 0 
SRR1298742.5595	IGHG 29 0 
SRR1298742.5364	IGHG 27 0 
SRR1298742.761	IGHG 27 0 
SRR1298742.2436	IGHM 113 0 
SRR1298742.6538	IGHG 27 0 
SRR1298742.1306	IGHG 27 0 
SRR1298742.7318	IGHM 113 0 
SRR1298742.8492	IGHG 27 0 
SRR1298742.1175	IGHM 113 3 
SRR1298742.4505	IGHG 27 0 
SRR1298742.3334	IGHM 113 0 
SRR1298742.1996	IGHG 26 0 
SRR1298742.1930	IGHG 27 0 
SRR1298742.7056	IGHG 29 0 
SRR1298742.6304	IGHG 27 0 
SRR1298742.6079	IGHG 27 0 
SRR1298742.9200	IGHG 27 0 
SRR1298742.7828	IGHG 27 0 
SRR1298742.1820	IGHM 113 0 
SRR1298742.2730	IGHG 27 0 
SRR1298742.7896	IGHM 113 0 
SRR1298742.6560	IGHM 113 0 
SRR1298742.989	IGHG 29 0 
SRR1298742.8667	IGHM 113 1 
SRR1298742.1091	IGHG 29 0 
SRR1298742.8190	IGHG 29 0 
SRR1298742.5320	IGHG 29 0 
SRR1298742.4121	IGHG 29 0 
SRR1298742.6318	IGHM 113 1 
SRR1298742.4463	IGHG 27 0 
SRR1298742.9111	IGHM 113 0 
SRR1298742.6835	IGHG 29 0 
SRR1298742.7350	IGHG 29 0 
SRR1298742.3739	IGHG 29 0 
SRR1298742.9186	IGHG 27 0 
SRR1298742.5642	IGHG 29 0 
SRR1298742.756	IGHG 27 0 
SRR1298742.8309	IGHM 113 0 
SRR1298742.7207	IGHG 27 0 
SRR1298742.4144	IGHM 113 0 
SRR1298742.670	IGHG 29 0 
SRR1298742.4588	IGHM 113 0 
SRR1298742.2085	IGHM 113 0 
SRR1298742.8583	IGHM 113 0 
SRR1298742.8974	IGHM 113 0 
SRR1298742.7851	IGHM 113 0 
SRR1298742.8883	IGHG 27 0 
SRR1298742.6527	IGHM 113 0 
SRR1298742.3497	IGHG 29 0 
SRR1298742.2400	IGHG 27 0 
SRR1298742.7028	IGHM 113 0 
SRR1298742.5400	IGHG 27 0 
SRR1298742.3947	IGHG 29 0 
SRR1298742.4825	IGHG 27 0 
SRR1298742.3285	IGHG 27 0 
SRR1298742.7032	IGHG 29 0 
SRR1298742.321	IGHG 27 0 
SRR1298742.7190	IGHM 113 0 
SRR1298742.2182	IGHG 27 0 
SRR1298742.4964	IGHM 113 0 
SRR1298742.2211	IGHG 26 0 
SRR1298742.3282	IGHG 27 0 
SRR1298742.9400	IGHM 113 0 
SRR1298742.5625	IGHG 29 0 
SRR1298742.2544	IGHG 27 0 
SRR1298742.5046	IGHG 27 0 
SRR1298742.2248	IGHM 113 1 
SRR1298742.532	IGHG 29 0 
SRR1298742.7490	IGHG 27 0 
SRR1298742.2937	IGHG 27 0 
SRR1298742.6300	IGHM 113 0 
SRR1298742.1771	IGHM 113 0 
SRR1298742.8410	IGHG 27 0 
SRR1298742.903	IGHG 29 0 
SRR1298742.2600	IGHM 110 0 
SRR1298742.1697	IGHG 27 0 
SRR1298742.4217	IGHG 27 0 
SRR1298742.9116	IGHG 29 0 
SRR1298742.9167	IGHM 113 0 
SRR1298742.4755	IGHM 113 1 
SRR1298742.4754	IGHG 29 0 
