SRR1298742.2575	IGHV1-2 295 14 
SRR1298742.1428	IGHV4-34 293 14 
SRR1298742.5707	IGHV1-46 296 12 
SRR1298742.613	IGHV1-2 292 16 
SRR1298742.5440	IGHV4-34 290 29 
SRR1298742.8331	IGHV4-34 293 6 
SRR1298742.6915	IGHV3-49 300 0 
SRR1298742.7485	IGHV6-1 304 8 
SRR1298742.1500	IGHV1-8 295 7 
SRR1298742.2249	IGHV1-2 292 17 
SRR1298742.933	IGHV1-2 292 16 
SRR1298742.4765	IGHV1-2 292 19 
SRR1298742.4677	IGHV1-46 296 11 
SRR1298742.4675	IGHV6-1 304 7 
SRR1298742.6934	IGHV1-8 295 9 
SRR1298742.6243	IGHV3-74 290 21 
SRR1298742.2565	IGHV6-1 304 8 
SRR1298742.5952	IGHV6-1 304 7 
SRR1298742.3644	IGHV4-34 288 15 
SRR1298742.9439	IGHV1-8 293 7 
SRR1298742.1788	IGHV1-8 295 8 
SRR1298742.5274	IGHV4-34 288 15 
SRR1298742.7653	IGHV3-49 300 0 
SRR1298742.6210	IGHV3-74 290 25 
SRR1298742.1875	IGHV4-34 288 16 
SRR1298742.2854	IGHV1-2 292 19 
SRR1298742.7437	IGHV3-74 290 12 
SRR1298742.8991	IGHV6-1 304 8 
SRR1298742.417	IGHV1-2 292 16 
SRR1298742.361	IGHV1-46 295 18 
SRR1298742.5084	IGHV2-5 294 9 
SRR1298742.6181	IGHV3-74 290 13 
SRR1298742.5123	IGHV4-34 288 15 
SRR1298742.7701	IGHV3-49 302 2 
SRR1298742.4660	IGHV3-49 300 2 
SRR1298742.2464	IGHV1-2 292 15 
SRR1298742.877	IGHV4-34 288 16 
SRR1298742.6369	IGHV4-39 300 19 
SRR1298742.6601	IGHV4-34 288 15 
SRR1298742.8909	IGHV4-34 288 15 
SRR1298742.3970	IGHV6-1 300 7 
SRR1298742.8548	IGHV1-2 292 17 
SRR1298742.3648	IGHV3-74 290 22 
SRR1298742.6040	IGHV3-49 300 1 
SRR1298742.9209	IGHV1-46 296 13 
SRR1298742.4365	IGHV4-34 288 15 
SRR1298742.2416	IGHV1-2 292 16 
SRR1298742.5239	IGHV4-34 288 15 
SRR1298742.8787	IGHV6-1 304 7 
SRR1298742.6611	IGHV3-49 301 0 
SRR1298742.4485	IGHV1-2 292 17 
SRR1298742.4362	IGHV1-2 292 16 
SRR1298742.1747	IGHV3-74 290 20 
SRR1298742.351	IGHV1-2 292 15 
SRR1298742.8635	IGHV1-8 295 7 
SRR1298742.1785	IGHV6-1 304 0 
SRR1298742.4044	IGHV6-1 304 8 
SRR1298742.574	IGHV1-2 292 16 
SRR1298742.4946	IGHV1-8 295 7 
SRR1298742.6455	IGHV1-2 292 17 
SRR1298742.8339	IGHV1-46 296 11 
SRR1298742.1057	IGHV3-74 299 11 
SRR1298742.6095	IGHV3-49 295 1 
SRR1298742.8525	IGHV6-1 304 0 
SRR1298742.9314	IGHV1-46 296 12 
SRR1298742.7787	IGHV1-2 292 16 
SRR1298742.1968	IGHV6-1 302 11 
SRR1298742.8489	IGHV3-74 290 13 
SRR1298742.1923	IGHV1-2 292 16 
SRR1298742.1688	IGHV6-1 304 0 
SRR1298742.1129	IGHV1-2 292 18 
SRR1298742.6430	IGHV6-1 304 9 
SRR1298742.8476	IGHV3-74 290 21 
SRR1298742.7995	IGHV1-46 296 11 
